Bahasa Ambon,English
aas,n. axle. Oto pata aas = automobile with broken axle.
abis,"adj. used up, all gone, finished. Garang su abis. = The salt is all gone. adv. 1. after, when finished. Abis dansa, pulang tidor. = After dancing, go home to sleep. 2. completely. Babasa abis = completely wet. Ontua tulis akang samua abis. He wrote down all of it."
abis-abis,adv. entirely. Dia maki dorang abis-abis. = He cursed them one and all.
absen,v. not attend
acar,n. A kind of pickled salad.
acu,n. harpoon.
ada,v. 1. is available. Ontua ada. = He is here. 2. is busy. Ontua ada cuci tangang. = He is busy washing his hands.
ada harus,itj. no wonder!
adas manis,"n. A spice, the anise, Pimpinella anisum. PAN hadas, anise, aniseed, fennel: %Foeniculum vulgare%."
adat,n. cultural tradition. Also hadat.
ade,n. younger sibling.
ade-kaka,adj. siblings. Dong dua ade-kaka. = They two are siblings.
adfokaat,n. lawyer. adv. favoring one side.
administrasi,n. bureaucratic administration.
adoo,see aduu.
adu,"v. try, try to, try out. Dia adu balompa langgar aer. = He tried jumping across the stream. Also aju."
aduu,itj. an exclamation of pain. Also adoo.
aer,"n. 1. water. 2. juice, water-based fluid. Aer tobu = sugar cane juice. 3. freshwater stream. Dia ada turung ka aer. = He has gone down to the stream (and has not returned yet)."
aer,see aer.
aer batang,n. river
aer kincing,n. urine.
aer ledeng,n. water from a municipal water system.
aer lemong,n. lemonade
aer lior,n. spittle.
aer luda,n. spittle.
aer mandi,n. bath water.
aer manta,n. unboiled water.
aer masa,n. boiled water.
aer masing,"n. 1. salt water, brine. 2. the sea."
aer mata,n. tears.
aer meti,n. adj. adv. low tide.
aer mulu,n. spittle.
aer nae,n. adj. adv. rising (of the tide). Su aer nae ka blong? = Is the tide rising yet or not?
aer neira,n. palm wine at an early stage of fermentation. cf. muur.
aer nira,see aer neira.
aer pasang,n. full tide.
aer pono,n. adj. adv. full tide.
aer salobar,n. brackish water.
aer susu,n. milk
aer tawar,n. fresh water.
aer turung-nae,"n. tidal wave, tsunami."
afiong,"n. spinning top. Moluccans carve these from hardwood, set a nail in their point, and smooth their surfaces by scraping with a shard of broken glass. Such tops are spun by throwing while jerking a cord."
afooker,"adj. unusable, unserviceable."
agama,n. religion.
agar-agar,"n. agar, and desserts made from agar."
agas,"n. gnat, sandfly, Nematocera."
ahaeng,"adj. shabby (of clothes, dwellings, etc. ) (Oma)."
ahtereit,vi. reverse.
ajimat,adj. magical. cf. jimat.
aju,see adu.
aju-aju,v. tease by imitating.
ajudaan,n. a military rank or person bearing that rank.
akang,"prn. 1. it. Taro akang di para2. = Set it on the rack. 2. thats it. Akang tuu! = Thats it! 3. the crazy, the rediculous. Akang ana kapala botak. That kid (child) with the bald head."
akar,n. root. Cabu deng akar-akar. = Pull it up by the roots.
akar bahar,n. black coral.
akii,n. rechargeable battery.
akoor,see okoor.
alam,see alamat
alamat,"alamat, adj. adv. gigantic. Ruma alamat. = Gigantic house."
alang-alang,see kusu-kusu.
ale,"prn. you (singular, non-deprecating). cf. ose."
almanaak,n. calendar.
alminiong,aluminum
alor,"n. canyon, ravine."
alu-alu,n. pestle used for pounding. cf. lasoong.
alus,adj. 1. fine. Tapong alus = fine-grained flour. Banaang alus = fine thread. 2. refined. Orang2 alus = refined people. 3. little. An-ana alus - little children. Ikang alus = Very small fish.
alus-alus,adv. very fine. Cincang akang alus-alus. = Chop it up very fine.
ama,"n. (used in affectionate address) father, son."
amandel,n. tonsil.
amarika,n. America. adj. American.
amatoo,itj. Farewell. Malay from Arabic salamat.
ambal,n. traditional cassava food of Kai Islanders.
amblas,adj. completely used up or gone without a trace.
ambu-ambu,"adj. frayed, tasseled."
ampa,n. & adj. four.
